"id","Symbol","Company","Marketcap"
"348","HONASA","Honasa Consumer Limited","  1,418,264 "
"349","TITAGARH","TITAGARH RAIL SYSTEMS LIMITED","  1,405,321 "
"350","WELSPUNLIV","Welspun Living Limited","  1,403,777 "
"351","ASAHIINDIA","Asahi India Glass Limited","  1,401,657 "
"352","GESHIP","The Great Eastern Shipping Company Limited","  1,394,550 "
"353","ARE&M","Amara Raja Energy & Mobility Limited","  1,393,830 "
"354","ZENSARTECH","Zensar Technologies Limited","  1,383,254 "
"355","REDINGTON","Redington Limited","  1,382,072 "
"356","ASTRAZEN","AstraZeneca Pharma India Limited","  1,381,650 "
"357","NUVOCO","Nuvoco Vistas Corporation Limited","  1,366,122 "
"358","BIKAJI","Bikaji Foods International Limited","  1,365,905 "
"359","CENTURYTEX","Century Textiles & Industries Limited","  1,365,536 "
"360","HAPPSTMNDS","Happiest Minds Technologies Limited","  1,364,458 "
"361","HSCL","Himadri Speciality Chemical Limited","  1,363,950 "
"362","KARURVYSYA","Karur Vysya Bank Limited","  1,355,570 "
"363","J&KBANK","The Jammu & Kashmir Bank Limited","  1,354,454 "
"364","ABSLAMC","Aditya Birla Sun Life AMC Limited","  1,352,115 "
"365","SWANENERGY","Swan Energy Limited","  1,348,616 "
"366","SFL","Sheela Foam Limited","  1,348,282 "
"367","TRITURBINE","Triveni Turbine Limited","  1,348,275 "
"368","BASF","BASF India Limited","  1,327,289 "
"369","JINDALSAW","Jindal Saw Limited","  1,317,547 "
"370","BLS","BLS International Services Limited","  1,315,100 "
"371","JWL","Jupiter Wagons Limited","  1,315,011 "
"372","RKFORGE","Ramkrishna Forgings Limited","  1,311,893 "
"373","FINPIPE","Finolex Industries Limited","  1,309,206 "
"374","CAMS","Computer Age Management Services Limited","  1,302,433 "
"375","ALKYLAMINE","Alkyl Amines Chemicals Limited","  1,296,284 "
"376","GMDCLTD","Gujarat Mineral Development Corporation Limited","  1,294,260 "
"377","GET&D","GE T&D India Limited","  1,288,810 "
"378","FSL","Firstsource Solutions Limited","  1,288,388 "
"379","WESTLIFE","WESTLIFE FOODWORLD LIMITED","  1,273,765 "
"380","ECLERX","eClerx Services Limited","  1,270,541 "
"381","VGUARD","V-Guard Industries Limited","  1,267,856 "
"382","NUVAMA","Nuvama Wealth Management Limited","  1,264,325 "
"383","MAHSEAMLES","Maharashtra Seamless Limited","  1,239,962 "
"384","ERIS","Eris Lifesciences Limited","  1,237,812 "
"385","AEGISCHEM","Aegis Logistics Limited","  1,235,169 "
"386","SIGNATURE","Signatureglobal (India) Limited","  1,232,771 "
"387","JAIBALAJI","Jai Balaji Industries Limited","  1,222,399 "
"388","AAVAS","Aavas Financiers Limited","  1,212,567 "
"389","RAINBOW","Rainbow Childrens Medicare Limited","  1,210,966 "
"390","HBLPOWER","HBL Power Systems Limited","  1,209,679 "
"391","RITES","RITES Limited","  1,207,277 "
"392","KSB","Ksb Limited","  1,206,701 "
"393","HFCL","HFCL Limited","  1,202,312 "
"394","SYRMA","Syrma SGS Technology Limited","  1,191,596 "
"395","EQUITASBNK","Equitas Small Finance Bank Limited","  1,190,616 "
"396","AKZOINDIA","Akzo Nobel India Limited","  1,187,441 "
"397","MGL","Mahanagar Gas Limited","  1,185,827 "
"398","BEML","BEML Limited","  1,178,206 "
"399","AETHER","Aether Industries Limited","  1,176,119 "
"400","GNFC","Gujarat Narmada Valley Fertilizers and Chemicals Limited","  1,169,915 "
"401","KPIL","Kalpataru Projects International Limited","  1,152,068 "
"402","RAYMOND","Raymond Limited","  1,147,165 "
"403","INTELLECT","Intellect Design Arena Limited","  1,142,935 "
"404","CRAFTSMAN","Craftsman Automation Limited","  1,142,249 "
"405","BAJAJELEC","Bajaj Electricals Limited","  1,137,553 "
"406","ANURAS","Anupam Rasayan India Limited","  1,132,118 "
"407","VTL","Vardhman Textiles Limited","  1,116,648 "
"408","UJJIVANSFB","Ujjivan Small Finance Bank Limited","  1,113,273 "
"409","BIRLACORPN","Birla Corporation Limited","  1,109,609 "
"410","GRINFRA","G R Infraprojects Limited","  1,106,316 "
"411","OLECTRA","Olectra Greentech Limited","  1,105,463 "
"412","CUB","City Union Bank Limited","  1,103,553 "
"413","UTIAMC","UTI Asset Management Company Limited","  1,102,147 "
"414","BBTC","Bombay Burmah Trading Corporation Limited","  1,098,419 "
"415","GODFRYPHLP","Godfrey Phillips India Limited","  1,096,474 "
"416","NEWGEN","Newgen Software Technologies Limited","  1,094,659 "
"417","RAILTEL","Railtel Corporation Of India Limited","  1,084,772 "
"418","ANANDRATHI","Anand Rathi Wealth Limited","  1,082,617 "
"419","RAJESHEXPO","Rajesh Exports Limited","  1,082,275 "
"420","GRAPHITE","Graphite India Limited","  1,074,957 "
"421","GODREJAGRO","Godrej Agrovet Limited","  1,071,479 "
"422","ZYDUSWELL","Zydus Wellness Limited","  1,069,720 "
"423","GPIL","Godawari Power And Ispat limited","  1,066,742 "
"424","ALOKINDS","Alok Industries Limited","  1,060,079 "
"425","IBULHSGFIN","Indiabulls Housing Finance Limited","  1,059,353 "
"426","JKLAKSHMI","JK Lakshmi Cement Limited","  1,058,325 "
"427","AMBER","Amber Enterprises India Limited","  1,056,433 "
"428","RTNINDIA","RattanIndia Enterprises Limited","  1,053,981 "
"429","SPLPETRO","Supreme Petrochem Limited","  1,052,279 "
"430","MAPMYINDIA","C.E. Info Systems Limited","  1,051,347 "
"431","NCC","NCC Limited","  1,046,934 "
